"","Date","First","Last","Institution","City","Country","Lon","Lat","Leaf_URL","Website"
"48","2019-03-18","Mauricio","Arias",NA,NA,NA,NA,NA,NA,NA
"49","2019-03-25","Shashir","Basant",NA,NA,NA,NA,NA,NA,NA
"50","2019-04-01","Lauren","McPhillips",NA,NA,NA,NA,NA,NA,NA
"51","2019-04-08","Jonathan","Martin",NA,NA,NA,NA,NA,NA,NA
"52","2019-04-15","J. Renee","Brooks",NA,NA,NA,NA,NA,NA,NA
"53","2019-04-22","Paul","Brooks",NA,NA,NA,NA,NA,NA,NA
"54","2019-04-29","Ignacio","Rodriguez-Iturbe",NA,NA,NA,NA,NA,NA,NA
"55","2019-05-06","Scott","Allen",NA,NA,NA,NA,NA,NA,NA
"56","2019-05-13","Lizzie","Gardner",NA,NA,NA,NA,NA,NA,NA
"57","2019-05-20","Huade","Guan",NA,NA,NA,NA,NA,NA,NA
"58","2019-05-27","Femeena","Pandara Valappil",NA,NA,NA,NA,NA,NA,NA
"59","2019-06-03","Brent","Newman",NA,NA,NA,NA,NA,NA,NA
"60","2019-06-10","Tonantzin","Tarin",NA,NA,NA,NA,NA,NA,NA
"61","2019-06-17","Sujith","Ravi",NA,NA,NA,NA,NA,NA,NA
"62","2019-06-24","Jaivime","Evaristo",NA,NA,NA,NA,NA,NA,NA
"63","2019-07-01","Bill","Shuster",NA,NA,NA,NA,NA,NA,NA
"64","2019-07-08","Carly","Ziter",NA,NA,NA,NA,NA,NA,NA
"65","2019-07-15","Georgianne","Moore",NA,NA,NA,NA,NA,NA,NA
"66","2019-07-22","Monica","Palta",NA,NA,NA,NA,NA,NA,NA
"67","2019-07-29","Nancy","Grimm",NA,NA,NA,NA,NA,NA,NA
"68","2019-08-05","Elie","Bou-Zeid",NA,NA,NA,NA,NA,NA,NA
"69","2019-08-12","Gaby","Katul",NA,NA,NA,NA,NA,NA,NA
"70","2019-08-19","Matthias","Sprenger",NA,NA,NA,NA,NA,NA,NA
"71","2019-08-26","Simon","Zwieback",NA,NA,NA,NA,NA,NA,NA
"72","2019-09-02","Mallory","Barnes",NA,NA,NA,NA,NA,NA,NA
"73","2019-09-09","Rafael","Rosolem",NA,NA,NA,NA,NA,NA,NA
"74","2019-09-16","Edoardo","Daly",NA,NA,NA,NA,NA,NA,NA
"75","2019-09-23","Ryan","Emmanuel",NA,NA,NA,NA,NA,NA,NA
"76","2019-09-30","Kim","Quesnel",NA,NA,NA,NA,NA,NA,NA
"77","2019-10-07","Rachel","Gabor",NA,NA,NA,NA,NA,NA,NA
"78","2019-10-14","Russ","Scott",NA,NA,NA,NA,NA,NA,NA
"79","2019-10-21","Mitch","Pavao-Zuckerman",NA,NA,NA,NA,NA,NA,NA
"80","2019-10-28","Giulia","Vico",NA,NA,NA,NA,NA,NA,NA
"81","2019-11-04","Paolo","D'Odorico",NA,NA,NA,NA,NA,NA,NA
"82","2019-11-11","Kudzai","Farai Kaseke",NA,NA,NA,NA,NA,NA,NA
"83","2019-11-18","Dani","Or",NA,NA,NA,NA,NA,NA,NA
"84","2019-11-25","Jan","Franssen",NA,NA,NA,NA,NA,NA,NA
"85","2019-12-02","Tamara","Harms",NA,NA,NA,NA,NA,NA,NA
"86","2019-12-09","Matt","Cohen",NA,NA,NA,NA,NA,NA,NA
"87","2019-12-16","Jeannie","Wilkening",NA,NA,NA,NA,NA,NA,NA
"88","2019-12-23","Fabrice","Vinatier",NA,NA,NA,NA,NA,NA,NA
"89","2019-12-30","Teamrat","Ghezzehei",NA,NA,NA,NA,NA,NA,NA
"90","2020-01-06","Kim","Novick",NA,NA,NA,NA,NA,NA,NA
"91","2020-01-13","Natalie","Ceperley",NA,NA,NA,NA,NA,NA,NA
"92","2020-01-20","Benjamin","Runkle",NA,NA,NA,NA,NA,NA,NA
"93","2020-01-27","Alfredo","Huete",NA,NA,NA,NA,NA,NA,NA
"94","2020-02-03","Andrew","Murray",NA,NA,NA,NA,NA,NA,NA
"95","2020-02-10","Kyotaek","Hwang",NA,NA,NA,NA,NA,NA,NA
"96","2020-02-17","John","Stella",NA,NA,NA,NA,NA,NA,NA
"97","2020-02-24","Lauren","Lowman",NA,NA,NA,NA,NA,NA,NA
"98","2020-03-02","Scott","MacKay",NA,NA,NA,NA,NA,NA,NA
"99","2020-03-09","Anne","Jefferson",NA,NA,NA,NA,NA,NA,NA
"100","2020-03-16","Alexandra","Konings",NA,NA,NA,NA,NA,NA,NA
"101","2020-03-23","Doerthe","Tetzlaff",NA,NA,NA,NA,NA,NA,NA
"102","2020-03-30","Daniel","Bunting",NA,NA,NA,NA,NA,NA,NA
"103","2020-04-06","Caitlin","Eger",NA,NA,NA,NA,NA,NA,NA
"104","2020-04-13","Susana","Alvarado Barrientos",NA,NA,NA,NA,NA,NA,NA
"105","2020-04-20","Lejo","Flores",NA,NA,NA,NA,NA,NA,NA
"106","2020-04-27","Rebecca","Barnes",NA,NA,NA,NA,NA,NA,NA
"107","2020-05-04","Tyson","Swetnam",NA,NA,NA,NA,NA,NA,NA
"108","2020-05-11","David","Reed",NA,NA,NA,NA,NA,NA,NA
"109","2020-05-18","Sonia","Seneviratne",NA,NA,NA,NA,NA,NA,NA
"110","2020-05-25","Valeriy","Ivanov",NA,NA,NA,NA,NA,NA,NA
"111","2020-06-01","Grace","John",NA,NA,NA,NA,NA,NA,NA
"112","2020-06-08","Rutuja","Chitra-Tarak",NA,NA,NA,NA,NA,NA,NA
"113","2020-06-15","Naama","Raz Yaseef",NA,NA,NA,NA,NA,NA,NA
"114","2020-06-22","Nei","Leite",NA,NA,NA,NA,NA,NA,NA
"115","2020-06-29","Charles","Scaife",NA,NA,NA,NA,NA,NA,NA
"116","2020-07-06","Mary Grace","Lemon",NA,NA,NA,NA,NA,NA,NA
"117","2020-07-13","Cherie","Westbook",NA,NA,NA,NA,NA,NA,NA
"118","2020-07-20","Megan","Fork",NA,NA,NA,NA,NA,NA,NA
"119","2020-07-27","Jay","Zarnetske",NA,NA,NA,NA,NA,NA,NA
"120","2020-08-03","Paul","Stoy",NA,NA,NA,NA,NA,NA,NA
"121","2020-08-10","Andrew","Guswa",NA,NA,NA,NA,NA,NA,NA
"122","2020-08-17","Elana","Chan",NA,NA,NA,NA,NA,NA,NA
"123","2020-08-24","Lu","Zhang",NA,NA,NA,NA,NA,NA,NA
"124","2020-08-31","Megan","Klaar",NA,NA,NA,NA,NA,NA,NA
"125","2020-09-07","Thibault","Datry",NA,NA,NA,NA,NA,NA,NA
"126","2020-09-14","Patricio","Magliano",NA,NA,NA,NA,NA,NA,NA
"127","2020-09-21","Marccus","Hendricks",NA,NA,NA,NA,NA,NA,NA
"128","2020-09-28","Sarah","Ledford",NA,NA,NA,NA,NA,NA,NA
"129","2020-10-05","Eli","Perez-Ruiz",NA,NA,NA,NA,NA,NA,NA
"130","2020-10-12","Molly","Cain",NA,NA,NA,NA,NA,NA,NA
"131","2020-10-19","Juan Camilo","Villegas",NA,NA,NA,NA,NA,NA,NA
"132","2020-10-26","Travis","Huxman",NA,NA,NA,NA,NA,NA,NA
"133","2020-11-02","Youngryel","Ryu",NA,NA,NA,NA,NA,NA,NA
"134","2020-11-09","Jeff","McDonnell",NA,NA,NA,NA,NA,NA,NA
"135","2020-11-16","Diane","Pataki",NA,NA,NA,NA,NA,NA,NA
"136","2020-11-23","Sara","Sheri Karimi",NA,NA,NA,NA,NA,NA,NA
"137","2020-11-30","Alejandro","Ocegueda",NA,NA,NA,NA,NA,NA,NA
"138","2020-12-07","Monica","Garcia",NA,NA,NA,NA,NA,NA,NA
"139","2020-12-15","Gretchen","Miller",NA,NA,NA,NA,NA,NA,NA
"140","2020-12-21","Ana","Ochoa-Sánchez",NA,NA,NA,NA,NA,NA,NA
"141","2020-12-28","Rafael","Bras",NA,NA,NA,NA,NA,NA,NA
"142","2021-01-04","Jim","Shuttleworth",NA,NA,NA,NA,NA,NA,NA
"143","2021-01-11","Arial","Shogren",NA,NA,NA,NA,NA,NA,NA
"144","2021-01-18","Anne","Verhoef",NA,NA,NA,NA,NA,NA,NA
"145","2021-01-25","Kyle","Blount",NA,NA,NA,NA,NA,NA,NA
"146","2021-02-01","Maria","Poca",NA,NA,NA,NA,NA,NA,NA
"147","2021-02-08","Asko","Noormets",NA,NA,NA,NA,NA,NA,NA
"148","2021-02-15","Tate","Beddingfield",NA,NA,NA,NA,NA,NA,NA
